,region,date_debut,date_fin_previsionnelle,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible
85,OCCITANIE,2013-01-17 16:58:00,2013-01-18 10:00:00,hydraulique,17W100P100P0074G,227.0,0.0,227.0
86,NORMANDIE,2013-01-17 05:15:00,2013-01-19 00:00:00,thermique,17W100P100P0022Z,585.0,0.0,585.0
87,OCCITANIE,2013-01-17 10:30:00,2013-01-17 15:30:00,nucleaire,17W100P100P0128J,1310.0,1205.0,105.0
88,BRETAGNE,2013-01-18 14:30:00,2013-01-18 18:00:00,thermique,17W100P100P0033U,134.0,0.0,134.0
89,GRAND EST,2013-01-18 06:15:00,2013-01-18 09:25:00,thermique,17W100P100P00123,413.0,0.0,413.0
90,AUVERGNE RHONE ALPES,2013-01-19 06:55:00,2013-01-19 08:10:00,hydraulique,17W100P100P0059C,152.0,0.0,152.0
91,OCCITANIE,2013-01-19 14:40:00,2013-01-19 15:52:00,hydraulique,17W100P100P0072K,227.0,0.0,227.0
92,BRETAGNE,2013-01-19 13:35:00,2013-01-19 17:00:00,thermique,17W100P100P0033U,134.0,0.0,134.0
93,NOUVELLE AQUITAINE,2013-01-17 20:30:00,2013-01-19 20:00:00,nucleaire,17W100P100P0113W,1495.0,1160.0,335.0
94,PROVENCE ALPES COTE D AZUR,2013-01-20 02:23:00,2013-01-20 04:07:00,hydraulique,17W100P100P0080L,124.0,0.0,124.0
95,HAUTS DE FRANCE,2013-01-20 02:50:00,2013-01-25 12:00:00,nucleaire,17W100P100P0136K,910.0,0.0,910.0
96,HAUTS DE FRANCE,2013-01-20 09:47:00,2013-01-21 23:59:00,thermique,17W100P100P0006X,240.0,0.0,240.0
97,BOURGOGNE FRANCHE COMTE,2013-01-20 04:07:00,2013-01-20 05:30:00,thermique,17W100P100P0007V,245.0,0.0,245.0
98,BOURGOGNE FRANCHE COMTE,2013-01-20 07:43:00,2013-01-20 10:30:00,thermique,17W100P100P0007V,245.0,10.0,235.0
99,PROVENCE ALPES COTE D AZUR,2013-01-21 01:30:00,2013-01-21 07:10:00,thermique,17W100P100P0174C,465.0,0.0,465.0
100,GRAND EST,2013-01-21 11:00:00,2013-01-24 12:00:00,thermique,17W100P100P00121,250.0,0.0,250.0
101,AUVERGNE RHONE ALPES,2013-01-21 11:00:00,2013-01-22 07:55:00,nucleaire,17W100P100P0116Q,915.0,470.0,445.0
102,NORMANDIE,2013-01-21 14:44:00,2013-01-24 16:00:00,thermique,17W100P100P00202,250.0,0.0,250.0
103,GRAND EST,2013-01-22 00:00:00,2013-01-22 16:00:00,thermique,17W100P100P0015W,250.0,0.0,250.0
104,NORMANDIE,2013-01-21 19:30:00,2013-01-21 22:20:00,thermique,17W100P100P0022Z,585.0,300.0,285.0
105,NORMANDIE,2013-01-21 19:30:00,2013-01-21 22:20:00,thermique,17W100P100P0023X,580.0,312.0,268.0
106,GRAND EST,2013-01-21 13:00:00,2013-01-22 12:30:00,thermique,17W100P100P00032,285.0,0.0,285.0
107,GRAND EST,2013-01-21 12:49:00,2013-01-21 17:00:00,thermique,17W100P100P0005Z,595.0,420.0,175.0
108,PROVENCE ALPES COTE D AZUR,2013-01-21 10:00:00,2013-01-22 07:00:00,thermique,17W100P100P0008T,230.0,0.0,230.0
109,PROVENCE ALPES COTE D AZUR,2013-01-21 04:49:00,2013-01-21 11:30:00,thermique,17W100P100P0009R,595.0,0.0,595.0
110,PROVENCE ALPES COTE D AZUR,2013-01-21 14:57:00,2013-01-22 00:01:00,thermique,17W100P100P0009R,595.0,0.0,595.0
111,GRAND EST,2013-01-21 12:55:00,2013-01-21 16:15:00,thermique,17W100P100P00105,413.0,248.0,165.0
112,GRAND EST,2013-01-21 12:58:00,2013-01-21 16:15:00,thermique,17W100P100P00113,413.0,248.0,165.0
113,GRAND EST,2013-01-21 06:07:00,2013-01-21 07:30:00,thermique,17W100P100P00123,413.0,0.0,413.0
114,OCCITANIE,2013-01-22 00:26:00,2013-01-22 01:15:00,hydraulique,17W100P100P0072K,227.0,0.0,227.0
115,AUVERGNE RHONE ALPES,2013-01-22 15:40:00,2013-01-23 00:00:00,hydraulique,17W100P100P00885,180.0,0.0,180.0
116,AUVERGNE RHONE ALPES,2013-01-22 18:37:00,2013-01-22 18:58:00,hydraulique,17W100P100P0061P,152.0,0.0,152.0
117,AUVERGNE RHONE ALPES,2013-01-22 23:05:00,2013-01-23 12:00:00,hydraulique,17W100P100P00699,157.0,0.0,157.0
118,AUVERGNE RHONE ALPES,2013-01-22 15:30:00,2013-01-22 20:00:00,nucleaire,17W100P100P0150Q,915.0,715.0,200.0
119,GRAND EST,2013-01-22 19:34:00,2013-01-23 23:59:00,thermique,17W100P100P00024,115.0,0.0,115.0
120,PROVENCE ALPES COTE D AZUR,2013-01-22 00:02:00,2013-01-22 15:30:00,thermique,17W100P100P0009R,595.0,300.0,295.0
121,PROVENCE ALPES COTE D AZUR,2013-01-22 00:47:00,2013-01-22 00:47:00,thermique,17W100P100P01687,486.0,0.0,486.0
122,NORMANDIE,2013-01-23 13:50:00,2013-01-23 18:30:00,thermique,17W100P100P0022Z,585.0,400.0,185.0
123,AUVERGNE RHONE ALPES,2013-01-24 13:26:00,2013-01-24 17:00:00,hydraulique,17W100P100P00699,157.0,0.0,157.0
124,AUVERGNE RHONE ALPES,2013-01-25 03:11:00,2013-01-25 04:41:00,hydraulique,17W100P100P00699,157.0,0.0,157.0
125,ILE DE FRANCE,2013-01-25 08:50:00,2013-01-25 09:25:00,thermique,17W100P100P0042T,585.0,0.0,585.0
126,HAUTS DE FRANCE,2013-01-25 12:51:00,2013-01-26 23:59:00,thermique,17W100P100P0006X,240.0,0.0,240.0
127,HAUTS DE FRANCE,2013-01-25 00:45:00,2013-01-25 10:00:00,thermique,17W100P100P01695,400.0,0.0,400.0
128,HAUTS DE FRANCE,2013-01-25 00:45:00,2013-01-25 10:00:00,thermique,17W100P100P0170K,400.0,0.0,400.0
129,AUVERGNE RHONE ALPES,2013-01-26 03:05:00,2013-01-26 05:00:00,hydraulique,17W100P100P0057G,259.0,0.0,259.0
130,AUVERGNE RHONE ALPES,2013-01-26 04:20:00,2013-01-27 01:00:00,nucleaire,17W100P100P0116Q,915.0,510.0,405.0
131,AUVERGNE RHONE ALPES,2013-01-27 04:30:00,2013-01-27 06:30:00,nucleaire,17W100P100P0116Q,915.0,632.0,283.0
132,AUVERGNE RHONE ALPES,2013-01-27 11:00:00,2013-01-29 22:30:00,nucleaire,17W100P100P0146H,1335.0,0.0,1335.0
133,NORMANDIE,2013-01-27 11:33:00,2013-01-28 08:30:00,thermique,17W100P100P0023X,580.0,346.0,234.0
134,NORMANDIE,2013-01-27 18:44:00,2013-01-27 20:30:00,thermique,17W100P100P0022Z,585.0,350.0,235.0
135,CENTRE VAL DE LOIRE,2013-01-27 20:20:00,2013-01-27 22:00:00,nucleaire,17W100P100P0147F,915.0,790.0,125.0
136,GRAND EST,2013-01-27 17:30:00,2013-01-27 19:30:00,thermique,17W100P100P0005Z,595.0,0.0,595.0
137,OCCITANIE,2013-01-28 22:30:00,2013-01-29 15:00:00,thermique,17W100P100P0029L,685.0,0.0,685.0
138,PAYS DE LA LOIRE,2013-01-28 12:00:00,2013-01-31 02:30:00,thermique,17W100P100P0034S,685.0,0.0,685.0
139,PROVENCE ALPES COTE D AZUR,2013-01-28 05:14:00,2013-01-28 09:30:00,thermique,17W100P100P0009R,595.0,0.0,595.0
140,PROVENCE ALPES COTE D AZUR,2013-01-28 10:00:00,2013-01-28 16:00:00,thermique,17W100P100P01679,425.0,0.0,425.0
141,CENTRE VAL DE LOIRE,2013-01-29 15:50:00,2013-01-29 19:30:00,nucleaire,17W100P100P0091G,1310.0,0.0,1310.0
142,CENTRE VAL DE LOIRE,2013-01-29 02:40:00,2013-01-29 04:45:00,nucleaire,17W100P100P0120Z,890.0,460.0,430.0
143,ILE DE FRANCE,2013-01-29 15:00:00,2013-02-01 00:00:00,thermique,17W100P100P0026R,250.0,0.0,250.0
