Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 30
76;Occitanie;Données définitives;2013-01-01;01:00;2013-01-01T01:00:00+01:00;4955.0;77.0;2451.0;330;0.0;785.0;-601.0;79.0;1830.0;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;2013-01-01;01:00;2013-01-01T01:00:00+01:00;7944.0;252.0;11895.0;257;0.0;2828.0;-328.0;67.0;-7029.0;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;Données définitives;2013-01-01;01:00;2013-01-01T01:00:00+01:00;5422.0;241.0;4962.0;185;0.0;421.0;;143.0;-537.0;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;2013-01-01;01:00;2013-01-01T01:00:00+01:00;3549.0;433.0;8224.0;190;0.0;12.0;;54.0;-5366.0;;;;;;;;;;;;;;;;;
53;Bretagne;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;2735.0;58.0;;125;0.0;197.0;-1.0;20.0;2334.0;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;5680.0;316.0;;18;0.0;1207.0;0.0;56.0;4083.0;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;5514.0;247.0;5069.0;170;0.0;365.0;;144.0;-489.0;;;;;;;;;;;;;;;;;
52;Pays de la Loire;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;3313.0;126.0;;122;0.0;1.0;;29.0;3034.0;;;;;;;;;;;;;;;;;
11;Île-de-France;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;8499.0;685.0;;15;0.0;0.0;;146.0;7652.0;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;7896.0;252.0;12228.0;247;0.0;2710.0;-327.0;65.0;-7282.0;;;;;;;;;;;;;;;;;
32;Hauts-de-France;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;5926.0;833.0;4499.0;1014;0.0;1.0;;67.0;-490.0;;;;;;;;;;;;;;;;;
44;Grand Est;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;4840.0;320.0;9074.0;1166;0.0;1298.0;0.0;57.0;-7079.0;;;;;;;;;;;;;;;;;
76;Occitanie;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;4888.0;78.0;1772.0;286;0.0;765.0;-648.0;78.0;2554.0;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;3570.0;433.0;8380.0;169;0.0;12.0;;53.0;-5481.0;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;2560.0;90.0;9397.0;524;0.0;34.0;;24.0;-7511.0;;;;;;;;;;;;;;;;;
27;Bourgogne-Franche-Comté;Données définitives;2013-01-01;01:30;2013-01-01T01:30:00+01:00;2326.0;234.0;;104;0.0;105.0;0.0;13.0;1865.0;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;7882.0;251.0;12274.0;244;0.0;2516.0;-328.0;66.0;-7144.0;;;;;;;;;;;;;;;;;
11;Île-de-France;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;8229.0;685.0;;15;0.0;0.0;;153.0;7373.0;;;;;;;;;;;;;;;;;
44;Grand Est;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;4897.0;319.0;9072.0;1238;0.0;1191.0;0.0;56.0;-6983.0;;;;;;;;;;;;;;;;;
27;Bourgogne-Franche-Comté;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;2409.0;235.0;;103;0.0;105.0;0.0;13.0;1949.0;;;;;;;;;;;;;;;;;
76;Occitanie;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;4881.0;77.0;1549.0;236;0.0;744.0;-649.0;78.0;2841.0;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;5443.0;242.0;5076.0;154;0.0;365.0;;141.0;-541.0;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;5577.0;316.0;;20;0.0;1205.0;0.0;58.0;3976.0;;;;;;;;;;;;;;;;;
52;Pays de la Loire;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;3383.0;125.0;;125;0.0;1.0;;28.0;3103.0;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;2395.0;90.0;9456.0;530;0.0;34.0;;25.0;-7742.0;;;;;;;;;;;;;;;;;
53;Bretagne;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;2874.0;58.0;;139;0.0;202.0;-1.0;20.0;2454.0;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;3569.0;435.0;8317.0;143;0.0;12.0;;54.0;-5394.0;;;;;;;;;;;;;;;;;
32;Hauts-de-France;Données définitives;2013-01-01;02:00;2013-01-01T02:00:00+01:00;5695.0;828.0;4497.0;951;0.0;1.0;;66.0;-650.0;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;3412.0;435.0;8129.0;135;0.0;12.0;;53.0;-5355.0;;;;;;;;;;;;;;;;;
53;Bretagne;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;2856.0;58.0;;157;0.0;202.0;-1.0;19.0;2419.0;;;;;;;;;;;;;;;;;
44;Grand Est;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;4855.0;320.0;9043.0;1247;0.0;1193.0;0.0;57.0;-7007.0;;;;;;;;;;;;;;;;;
27;Bourgogne-Franche-Comté;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;2438.0;234.0;;100;0.0;105.0;0.0;12.0;1983.0;;;;;;;;;;;;;;;;;
76;Occitanie;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;4768.0;77.0;1551.0;224;0.0;733.0;-649.0;78.0;2749.0;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;5711.0;316.0;;24;0.0;1147.0;0.0;59.0;4163.0;;;;;;;;;;;;;;;;;
52;Pays de la Loire;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;3146.0;126.0;;127;0.0;1.0;;29.0;2862.0;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;7909.0;251.0;12228.0;245;0.0;2440.0;-406.0;67.0;-6920.0;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;2328.0;90.0;9382.0;537;0.0;34.0;;24.0;-7740.0;;;;;;;;;;;;;;;;;
32;Hauts-de-France;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;5560.0;829.0;4495.0;859;0.0;1.0;;68.0;-694.0;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;5516.0;241.0;5059.0;144;0.0;272.0;;141.0;-345.0;;;;;;;;;;;;;;;;;
11;Île-de-France;Données définitives;2013-01-01;02:30;2013-01-01T02:30:00+01:00;8150.0;677.0;;16;0.0;0.0;;146.0;7308.0;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;7709.0;251.0;12092.0;231;0.0;2161.0;-891.0;67.0;-6205.0;;;;;;;;;;;;;;;;;
76;Occitanie;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;4605.0;77.0;1537.0;166;0.0;700.0;-649.0;78.0;2692.0;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;3250.0;434.0;7268.0;128;0.0;12.0;;52.0;-4645.0;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;2349.0;90.0;9255.0;520;0.0;33.0;;25.0;-7576.0;;;;;;;;;;;;;;;;;
52;Pays de la Loire;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;2949.0;127.0;;124;0.0;1.0;;29.0;2667.0;;;;;;;;;;;;;;;;;
27;Bourgogne-Franche-Comté;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;2306.0;234.0;;103;0.0;105.0;0.0;13.0;1847.0;;;;;;;;;;;;;;;;;
53;Bretagne;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;2655.0;58.0;;159;0.0;197.0;-1.0;19.0;2220.0;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;5396.0;316.0;;25;0.0;1021.0;0.0;58.0;3974.0;;;;;;;;;;;;;;;;;
32;Hauts-de-France;Données définitives;2013-01-01;03:00;2013-01-01T03:00:00+01:00;5430.0;829.0;4495.0;769;0.0;1.0;;68.0;-734.0;;;;;;;;;;;;;;;;;
