region,date_heure,annee,jour_numero,heure,jour_fractionnel,thermique,nucleaire,eolien,solaire,hydraulique,bioenergies,pompage,ech_physiques,stockage_batterie,destockage_batterie,cap_prod_max_thermique,thermique_p_disp,cap_prod_max_nucleaire,nucleaire_p_disp,eolien_p_disp,solaire_p_disp,cap_prod_max_hydraulique,hydraulique_p_disp,cap_prod_max_bioenergies,bioenergies_p_disp,population
HAUTS DE FRANCE,2018-01-30 14:00:00,2018,30,14:00:00,30.58,1668.0,5426.0,61.0,17.0,2.0,110.0,0.0,307.0,0.0,0.0,2922.0,2691.0,5460.0,4550.0,3799.0,217.0,5.0,5.0,170.0,170.0,6004108
GRAND EST,2022-09-21 17:30:00,2022,264,17:30:00,264.73,1570.0,3580.0,495.0,370.0,616.0,135.0,-164.0,-2185.0,0.0,0.0,3590.0,3163.0,10820.0,9955.0,4348.0,1097.0,2308.0,1985.0,235.0,235.0,5563889
BOURGOGNE FRANCHE COMTE,2016-05-16 18:30:00,2016,137,18:30:00,137.77,29.0,0.0,19.0,27.0,96.0,19.0,0.0,1851.0,0.0,0.0,329.0,329.0,0.0,0.0,426.0,264.0,513.0,513.0,30.0,30.0,2818338
NOUVELLE AQUITAINE,2017-01-07 23:00:00,2017,7,23:00:00,7.96,260.0,5192.0,87.0,-1.0,293.0,195.0,0.0,1797.0,0.0,0.0,452.0,452.0,6630.0,5135.0,706.0,1924.0,1780.0,1780.0,295.0,295.0,5956978
NORMANDIE,2022-02-24 06:30:00,2022,55,06:30:00,55.27,376.0,7488.0,408.0,0.0,14.0,96.0,0.0,-4404.0,0.0,0.0,852.0,852.0,10640.0,9483.0,920.0,307.0,31.0,31.0,148.0,148.0,3327604
ILE DE FRANCE,2015-05-03 12:30:00,2015,123,12:30:00,123.52,-11.0,0.0,11.0,12.0,0.0,90.0,0.0,7631.0,0.0,0.0,2144.0,1693.0,0.0,0.0,37.0,112.0,19.0,19.0,286.0,286.0,12082144
NOUVELLE AQUITAINE,2017-08-17 00:00:00,2017,229,00:00:00,229.0,45.0,4081.0,63.0,-1.0,64.0,188.0,0.0,-167.0,0.0,0.0,465.0,465.0,6630.0,5574.0,780.0,1987.0,1780.0,1670.0,306.0,306.0,5956978
CENTRE VAL DE LOIRE,2017-07-10 06:00:00,2017,191,06:00:00,191.25,0.0,7047.0,232.0,0.0,0.0,68.0,0.0,-5855.0,0.0,0.0,198.0,198.0,11630.0,10824.0,947.0,270.0,91.0,91.0,76.0,76.0,2576252
HAUTS DE FRANCE,2019-07-07 11:00:00,2019,188,11:00:00,188.46,235.0,2979.0,165.0,31.0,0.0,130.0,0.0,949.0,0.0,0.0,2969.0,2792.0,5460.0,4681.0,4531.0,237.0,5.0,5.0,178.0,178.0,6004947
AUVERGNE RHONE ALPES,2021-10-24 10:30:00,2021,297,10:30:00,297.44,63.0,11755.0,132.0,474.0,999.0,102.0,-724.0,-5842.0,0.0,0.0,1048.0,1048.0,13570.0,12669.0,723.0,1554.0,11776.0,11649.0,208.0,208.0,8114361
